"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 4/5/22, 10:32:04 AM"


47
X,Y
0.0264706,1036.81,
0.0220588,98.9426,
0.167647,2727.89,
0.163235,2228.98,
0.167647,3099.05,
0.392647,1840.79,
0.388235,1552.87,
0.397059,2182.09,
0.586765,1203.19,
0.573529,1036.81,
0.577941,1456.92,
0.811765,753.690,
0.816176,649.468,
0.802941,874.638,
0.975000,305.327,
0.992647,236.571,
0.992647,415.577,
1.16912,161.345,
1.18676,121.088,
1.18676,217.284,
1.34559,152.993,
1.34118,116.047,
1.33676,212.713,
1.53529,81.7110,
1.53529,60.0335,
1.53088,110.040,
1.73382,34.9089,
1.72941,24.8427,
1.74265,49.0540,
1.92353,23.8085,
1.91029,17.1242,
1.91912,32.4055,
2.13088,22.1011,
2.13088,15.0733,
2.13088,33.1018,
2.33824,10.9573,
2.33824,6.04176,
2.33824,18.6442,
2.51912,7.55295,
2.52353,4.73126,
2.52353,10.8415,
2.72206,5.37500,
2.73088,3.29614,
2.72206,8.05040,
2.89412,1.06813,
2.89853,0.104122,
2.89853,2.75119,
